cover_available,dimension,ideal_for,length,product_code,material,temperature_range,width,color,description,units_per_package,disposable,type,food_contact_safe,shape,suitable_for,nom_du_produit,currency,recyclable,compartiments,categories,price
True,,,,GOB005,Carton,,,,Gobelet en carton avec couvercle pour boissons chaudes d'une capacit\xc3\xa9 de 250 ml. Fabriqu\xc3\xa9 \xc3\xa0 partir de cellulose provenant de fibres de bois r\xc3\xa9colt\xc3\xa9es dans des for\xc3\xaats durables.,pack de 50,True,Gobelet,True,,['Boissons chaudes'],Gobelet carton ECO 250ml avec couvercle,XAF,True,0,", Gobelets","3500,00"
False,,,,GOB004,Carton,,,,Gobelet en carton avec manche pour boissons chaudes d'une capacit\xc3\xa9 de 140 ml. Fabriqu\xc3\xa9 \xc3\xa0 partir de cellulose provenant de fibres de bois r\xc3\xa9colt\xc3\xa9es dans des for\xc3\xaats durables.,pack de 50,True,Gobelet,True,,['Boissons chaudes'],Gobelet carton ECO 140ml avec manche,XAF,True,0,", Gobelets","1500,00"
True,,,,GOB014,Carton,,,,Gobelet en carton avec couvercle pour jus d'une capacit\xc3\xa9 de 400ml. Fabriqu\xc3\xa9 \xc3\xa0 partir de cellulose provenant de fibres de bois r\xc3\xa9colt\xc3\xa9es dans des for\xc3\xaats durables.,pack de 50,True,Gobelet,True,,['Boissons froides'],Gobelets en carton ECO avec couvercle 400ml,XAF,True,0,", Gobelets","3500,00"
False,,,,GOB001,Carton,,,,Gobelet en carton pour boissons chaudes ou froides d'une capacit\xc3\xa9 de 250 ml. Fabriqu\xc3\xa9 \xc3\xa0 partir de cellulose provenant de fibres de bois r\xc3\xa9colt\xc3\xa9es dans des for\xc3\xaats durables.,pack de 50,True,Gobelet,True,,"['Boissons chaudes', 'Boissons froides']",Gobelet carton ECO 250ml,XAF,True,0,", Gobelets","2000,00"
True,,,,GOB012,Plastique,,,Transparent,"Gobelet Jetable en plastique transparent d\xe2\u20ac\u2122une capacit\xc3\xa9 de 400ml. Mat\xc3\xa9riau r\xc3\xa9sistant aux chocs et aux chutes, n'\xc3\xa9clate pas. L\xc3\xa9g\xc3\xa8re mais tr\xc3\xa8s rigide. Id\xc3\xa9al pour les boissons.",pack de 50,True,Gobelet,True,,['Boissons froides'],Gobelets en plastique transparent avec couvercle 400ml,XAF,True,0,", Gobelets","3500,00"
True,,,,GOB012,Plastique,,,Fleuri,"Gobelet jetable en plastique fleuri d\xe2\u20ac\u2122une capacit\xc3\xa9 de 400ml. Mat\xc3\xa9riau r\xc3\xa9sistant aux chocs et aux chutes, n'\xc3\xa9clate pas. Coupe l\xc3\xa9g\xc3\xa8re mais tr\xc3\xa8s rigide. Id\xc3\xa9al pour les boissons froides.",pack de 50,True,Gobelet,True,,['Boissons froides'],Gobelets en plastique fleuri avec couvercle 400ml,XAF,True,0,", Gobelets","3500,00"
True,,,,GOB013,Plastique,,,Transparent,"Gobelet Jetable en plastique transparent d\xe2\u20ac\u2122une capacit\xc3\xa9 de 500ml. Mat\xc3\xa9riau r\xc3\xa9sistant aux chocs et aux chutes, n'\xc3\xa9clate pas. Coupe l\xc3\xa9g\xc3\xa8re mais tr\xc3\xa8s rigide. Id\xc3\xa9al pour les boissons froides.",pack de 50,True,Gobelet,True,,['Boissons froides'],Gobelets en plastique transparent avec couvercle 500ml,XAF,True,0,", Gobelets","6500,00"
False,,,,GOB002,Plastique,,,Blanc,Fabriqu\xc3\xa9 en polypropyl\xc3\xa8ne. Id\xc3\xa9al pour : boissons chaudes et froides.,pack de 100,True,Gobelet,True,,"['Boissons chaudes', 'Boissons froides']",Gobelets Blanc 160ml en plastique /100,XAF,True,0,", Gobelets","1500,00"
False,,,,GOB003,Plastique,,,Blanc,Fabriqu\xc3\xa9 en polypropyl\xc3\xa8ne. Id\xc3\xa9al pour : boissons chaudes et froides.,pack de 100,True,Gobelet,True,,"['Boissons chaudes', 'Boissons froides']",Gobelets Blanc 60ml en plastique /100,XAF,True,0,", Gobelets","1000,00"
False,,,,GOB007,Polystyr\xc3\xa8ne,,,Transparent,Gobelet transparent fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 200ml. Id\xc3\xa9al pour : boissons chaudes et froides.,pack de 100,True,Gobelet,True,,"['Boissons chaudes', 'Boissons froides']",Gobelets Transparent 200ml,XAF,True,0,", Gobelets","2000,00"
False,,,,GOB006,Polystyr\xc3\xa8ne,,,Transparent,"Gobelet transparent fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides, notamment la bi\xc3\xa8re \xc3\xa0 pression.",pack de 50,True,Gobelet,True,,"['Boissons froides', 'BiÃ¨re Ã\xa0 pression']",Gobelets Transparent 400ml,XAF,True,0,", Gobelets","2500,00"
False,,,,RC50,Polystyr\xc3\xa8ne,,,Rouge,Gobelet rouge fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,paquet de 50,True,Gobelet,True,,['Boissons froides'],RED CUP,XAF,True,0,", Gobelets","3500,00"
False,,,,RC501,Polystyr\xc3\xa8ne,,,Bleu,Gobelet bleu fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,paquet de 50,True,Gobelet,True,,['Boissons froides'],BLUE CUP,XAF,True,0,", Gobelets","3500,00"
False,,,,RC504,Polystyr\xc3\xa8ne,,,Bleu,Gobelet bleu fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,paquet de 50,True,Gobelet,True,,['Boissons froides'],LIGHT BLUE CUP,XAF,True,0,", Gobelets","3500,00"
False,,,,RC502,Polystyr\xc3\xa8ne,,,Vert,Gobelet vert fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,paquet de 50,True,Gobelet,True,,['Boissons froides'],GREEN CUP,XAF,True,0,", Gobelets","3500,00"
False,,,,RC503,Polystyr\xc3\xa8ne,,,Orange,Gobelet orange fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,paquet de 50,True,Gobelet,True,,['Boissons froides'],ORANGE CUP,XAF,True,0,", Gobelets","3500,00"
