product_code,length,type,color,nom_du_produit,recyclable,currency,description,price,units_per_package
PIP001,,Pailles,,Pailles a milkshake,False,XAF,,2250,paquet de 100
PIP002,XL,Pailles,Noir,Pailles noir XL,False,XAF,,1000,paquet de 50
PIP002a,XL,Pailles,Transparent,Pailles transparentes XL,False,XAF,,1000,paquet de 50
PIP002b,XL,Pailles,Multicolore,Pailles multicolore XL,False,XAF,,1000,paquet de 50
PIP003,,Pailles,Or,Pailles en carton or,True,XAF,,800,paquet de 20
PIP003a,,Pailles,Gris,Pailles en papier gris,True,XAF,,800,paquet de 20
PIP003b,,Pailles,Blanc-Noir,Pailles en papier blanc-noir,True,XAF,,800,paquet de 20
PIP003c,,Pailles,Blanc-Vert,Pailles en papier blanc-vert,True,XAF,,800,paquet de 20
PIP003d,,Pailles,Rose-Blanc,Pailles en papier rose-blanc,True,XAF,,800,paquet de 20
PIP003e,,Pailles,Blanc-Or,Pailles en papier blanc-or,True,XAF,,800,paquet de 20
PIP003f,,Pailles,Blanc-Gris,Pailles en papier blanc-gris,True,XAF,,800,paquet de 20
PIP003g,,Pailles,Blanc-Jaune,Pailles en papier blanc-jaune,True,XAF,,800,paquet de 20
PIP003h,,Pailles,Blanc-Rouge,Pailles en papier blanc-rouge,True,XAF,,800,paquet de 20
PIP003i,,Pailles,Vert,Pailles en papier vert,True,XAF,,800,paquet de 20
PIP004,PM,Pailles,,Pailles PM,True,XAF,,500,paquet de 100
PIP005,MM,Pailles,,Pailles MM,True,XAF,,2500,paquet de 400
PIP006,,Pailles,Multicolore,Pailles flexibles multicolore,True,XAF,,1000,paquet de 100
PIP007,,Pailles,,Pailles flexibles envelopp\xc3\xa9s,True,XAF,,2000,paquet de 100
PIP008,,Pailles,,Pailles d\xc3\xa9cor\xc3\xa9,True,XAF,,1500,paquet de 50
