product_code,units_per_package,length,description,price,currency,recyclable,type,color,nom_du_produit
PIP001,paquet de 100,,,2250,XAF,False,Pailles,,Pailles a milkshake
PIP002,paquet de 50,XL,,1000,XAF,False,Pailles,Noir,Pailles noir XL
PIP002a,paquet de 50,XL,,1000,XAF,False,Pailles,Transparent,Pailles transparentes XL
PIP002b,paquet de 50,XL,,1000,XAF,False,Pailles,Multicolore,Pailles multicolore XL
PIP003,paquet de 20,,,800,XAF,True,Pailles,Or,Pailles en carton or
PIP003a,paquet de 20,,,800,XAF,True,Pailles,Gris,Pailles en papier gris
PIP003b,paquet de 20,,,800,XAF,True,Pailles,Blanc-Noir,Pailles en papier blanc-noir
PIP003c,paquet de 20,,,800,XAF,True,Pailles,Blanc-Vert,Pailles en papier blanc-vert
PIP003d,paquet de 20,,,800,XAF,True,Pailles,Rose-Blanc,Pailles en papier rose-blanc
PIP003e,paquet de 20,,,800,XAF,True,Pailles,Blanc-Or,Pailles en papier blanc-or
PIP003f,paquet de 20,,,800,XAF,True,Pailles,Blanc-Gris,Pailles en papier blanc-gris
PIP003g,paquet de 20,,,800,XAF,True,Pailles,Blanc-Jaune,Pailles en papier blanc-jaune
PIP003h,paquet de 20,,,800,XAF,True,Pailles,Blanc-Rouge,Pailles en papier blanc-rouge
PIP003i,paquet de 20,,,800,XAF,True,Pailles,Vert,Pailles en papier vert
PIP004,paquet de 100,PM,,500,XAF,True,Pailles,,Pailles PM
PIP005,paquet de 400,MM,,2500,XAF,True,Pailles,,Pailles MM
PIP006,paquet de 100,,,1000,XAF,True,Pailles,Multicolore,Pailles flexibles multicolore
PIP007,paquet de 100,,,2000,XAF,True,Pailles,,Pailles flexibles envelopp\xc3\xa9s
PIP008,paquet de 50,,,1500,XAF,True,Pailles,,Pailles d\xc3\xa9cor\xc3\xa9
