description,shape,compartiments,type,color,nom du produit,disposable,safe,suitable_for,material,keeps_no_odor,recyclable,units_per_package,product_code,price,temperature_range,dimension,food_contact_safe,cover_available,ideal_for,food_contact:
"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour paquet de 25 barquettes.",Carre,,Barquettes,Metallises,Barquettes aluminium 400ml lot/25,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",Aluminium,,True,25,BA8342,"XAF 1250,00",-20\xc2\xbaC / +380\xc2\xbaC,400ml,True,True,,
"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 25 barquettes",Rectangulaire,,Barquettes,Metallises,Barquettes aluminium 800ml lot/25,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",Aluminium,,True,25,BA8389,"XAF 2500,00",-20\xc2\xbaC / +380\xc2\xbaC,800ml,True,True,,
"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 25 barquettes",Rectangulaire,,Barquettes,Metallises,Barquettes aluminium 900ml lot/25,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",Aluminium,,True,25,BA83115,"XAF 4000,00",-20\xc2\xbaC / +380\xc2\xbaC,900ml,True,True,,
"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 25 barquettes",Rectangulaire,,Barquettes,Metallises,Barquettes aluminium 1200ml lot/25,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",Aluminium,,True,25,BA83120,"XAF 4000,00",-20\xc2\xbaC / +380\xc2\xbaC,1200ml,True,True,,
"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 20 barquettes.",Rectangulaire,,Barquettes,Metallises,Barquettes aluminium 900ml 2 compartiments lot/20,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",Aluminium,,True,20,BA8382,"XAF 3500,00",-20\xc2\xbaC / +380\xc2\xbaC,900ml,True,True,,
"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 20 barquettes.",Rectangulaire,3,Barquettes,Metallises,Barquettes aluminium 900ml 3 compartiments lot/20,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",Aluminium,,True,20,BA8385,"XAF 4000,00",-20\xc2\xbaC / +380\xc2\xbaC,900ml,True,True,,
"- Barquettes en aluminium de 1800ml. Particulierement adapte aux plats a emporter.\n- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 20 barquettes.",Rectangulaire,,Barquettes,Metallises,Barquettes aluminium 1800ml lot/20,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",Aluminium,,True,20,BA83185,"XAF 5000,00",-20\xc2\xbaC / +380\xc2\xbaC,1800ml,True,True,,
"- Barquettes en aluminium de 300ml. Particulierement adapte aux nouilles.\n- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 10 barquettes.",Ronde,,Barquettes,Metallises,Barquettes aluminium 300ml lot/10,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",Aluminium,,True,10,GA008,"XAF 1350,00",-20\xc2\xbaC / +380\xc2\xbaC,300ml,True,True,,
"- Plats a tarte en aluminium.\n- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 10 pieces.",Ronde,,Barquettes,Metallises,Plats a tarte en aluminium lot/10,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",Aluminium,,True,10,GA009,"XAF 3000,00",-20\xc2\xbaC / +380\xc2\xbaC,,True,True,,
- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Ne garde pas d'odeur\n- Convient pour le micro-ondes\n- Prix pour 07 barquettes.,Rectangulaire,2,Barquettes,Noire,Barquettes hp black 2 compartiments 1000ml lot/07,True,,['micro-ondes'],Polypropylene,True,True,10,BP004,"XAF 2500,00",-20\xc2\xbaC / +380\xc2\xbaC,1000ml,True,True,Repas a Emporter,
