ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
7949,simple,BA8342,"Barquettes aluminium 400ml",1,0,visible,"pack de 25","Recyclable et resistant aux graisses et aux huiles.\nContenance : 400ml\nMateriel : aluminium\nForme : carre\nContact alimentaire : oui\nPlage de temperature min/max : -20xc2xbaC / +380xc2xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson xc3xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 25 barquettes.\nUnites par paquet\npack de 25",,,taxable,,1,,,0,0,,,,,1,,,"1250,00","Aluminium, Barquettes",,,"http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-alu.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-aluminiul.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-aluminium.jpg",,,,,,,,,0
7950,simple,BA8389,"Barquettes aluminium 800ml",1,0,visible,"pack de 25","Recyclable et resistant aux graisses et aux huiles.\nContenance : 800ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20xc2xbaC / +380xc2xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson xc3xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 25 barquettes.\nUnites par paquet\npack de 25",,,taxable,,1,,,0,0,,,,,1,,,"2500,00","Aluminium, Barquettes",,,"http://laroseellc.shop/wp-content/uploads/2023/08/barquette-aluminium-rectangulaire-440-ml.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-alu-1.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-alum.png",,,,,,,,,0
7951,simple,BA83115,"Barquettes aluminium 900ml",1,0,visible,"pack de 25","Recyclable et resistant aux graisses et aux huiles.\nContenance : 900ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20xc2xbaC / +380xc2xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson xc3xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 25 barquettes.\nUnites par paquet\npack de 25",,,taxable,,1,,,0,0,,,,,1,,,"4000,00","Aluminium, Barquettes",,,"http://laroseellc.shop/wp-content/uploads/2023/08/gamelles-alu-2.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/gamelles-alu.jpg",,,,,,,,,0
7952,simple,BA83120,"Barquettes aluminium 1200 ml",1,0,visible,"pack de 20","Recyclable et resistant aux graisses et aux huiles.\nContenance : 1200 ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20xc2xbaC / +380xc2xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson xc3xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 20 barquettes.\nUnites par paquet\npack de 20",,,taxable,,1,,,0,0,,,,,1,,,"4000,00","Aluminium, Barquettes",,,"http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-alu.png, http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-alumi.png",,,,,,,,,0
7953,simple,BA8382,"Barquettes aluminium 900 ml 2 comp.",1,0,visible,"pack de 25","Recyclable et resistant aux graisses et aux huiles.\nContenance : 800ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20xc2xbaC / +380xc2xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson xc3xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 25 barquettes.\nUnites par paquet\npack de 25",,,taxable,,1,,,0,0,,,,,1,,,"3500,00","Aluminium, Barquettes",,,,,,,,,,,,0
7954,simple,BA8385,"Barquettes aluminium 900 ml 3 comp.",1,0,visible,"pack de 20","Recyclable et resistant aux graisses et aux huiles.\nContenance : 900ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20xc2xbaC / +380xc2xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson xc3xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 20 barquettes.\nUnites par paquet\npack de 20",,,taxable,,1,,,0,0,,,,,1,,,"4000,00","Aluminium, Barquettes",,,"http://laroseellc.shop/wp-content/uploads/2023/08/8576HPB-1.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/8576HPB-1.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/IMG_7743-1.webp",,,,,,,,,0
7955,simple,BA83185,"Barquettes aluminium 1800ml",1,0,visible,"pack de 20","Recyclable et resistant aux graisses et aux huiles.\nContenance : 800ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20xc2xbaC / +380xc2xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson xc3xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 20 barquettes.\nUnites par paquet\npack de 20",,,taxable,,1,,,0,0,,,,,1,,,"5000,00","Aluminium, Barquettes",,,,,,,,,,,,0
7956,simple,GA008,"Barquettes aluminium 300ml",1,0,visible,"pack de 10","Recyclable et resistant aux graisses et aux huiles.\nContenance : 300ml\nMateriel : aluminium\nForme : ronde\nContact alimentaire : oui\nPlage de temperature min/max : -20xc2xbaC / +380xc2xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson xc3xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 10 barquettes.\nUnites par paquet\npack de 10",,,taxable,,1,,,0,0,,,,,1,,,"1350,00","Aluminium, Barquettes",,,"http://laroseellc.shop/wp-content/uploads/2023/08/gamelles-alu-1.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/gamelles-alu1.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/gamelles-alu-1.jpg",,,,,,,,,0
7957,simple,GA009,"Plats a tarte en aluminium",1,0,visible,"pack de 10","Plats xc3xa0 tarte en aluminium..\nRecyclable et resistant aux graisses et aux huiles.\nPlage de temperature min/max : -20xc2xbaC / +380xc2xbaC.\nConvient pour le micro-ondes\nConvient pour le chauffage au four, la cuisson xc3xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour 10 pieces.\nUnites par paquet\npack de 10",,,taxable,,1,,,0,0,,,,,1,,,"3000,00",Aluminium,,,"http://laroseellc.shop/wp-content/uploads/2023/08/plats-a-tarte-en-aluminium1-1.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/plats-a-tarte-en-aluminium1.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/plats-a-tarte-en-aluminium.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/plats-a-tarte-en-aluminium.png, http://laroseellc.shop/wp-content/uploads/2023/08/plats-a-tarte-en-aluminium1-1.jpg",,,,,,,,,0
7958,simple,BP004,"Barquette PP HOTP 2 comp. 1000 ml",1,0,visible,"pack de 7","Dimension : 1000 ml\nMateriel : polypropylene\nForme : rectangulaire\nContact alimentaire : oui\nCouleur : noire\nCompartiments : 2\nFacile xc3xa0 nettoyer\nPeut-xc3xaatre chauffe au micro-onde.\nNe garde pas dxe2u20acu2122odeur\nIdeal pour : repas xc3xa0 emporter\nPrix pour 7 barquettes.\nUnites par paquet\npack de 7",,,taxable,,1,,,0,0,,,,,1,,,"2500,00","Barquettes, Polypropylene",,,"http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-hotpack-2-compartiment1.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-hotpack-2-compartiment2-scaled.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-hotpack-2-compartiment3.jpg, http://laroseellc.shop/wp-content/uploads/2023/08/barquettes-hotpack-2-compartiment.jpg",,,,,,,,,0
