color,disposable,temperature_range,food_contact_safe,type,cover_available,units_per_package,price,shape,product_code,description,suitable_for,nom_du_produit,material,categories,ideal_for,dimension,compartiments,currency,recyclable
,True,-20\xc2\xbaC / +380\xc2\xbaC,True,,True,pack de 25,"XAF 1250,00",carre,BA8342,"Recyclable et resistant aux graisses et aux huiles.\nContenance : 400ml\nMateriel : aluminium\nForme : carre\nContact alimentaire : oui\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson \xc3\xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 25 barquettes.\nUnites par paquet\npack de 25",['micro-ondes'],Barquettes aluminium 400ml,aluminium,"Aluminium, Barquettes",,,0,XAF,True
,True,-20\xc2\xbaC / +380\xc2\xbaC,True,,True,pack de 25,"XAF 2500,00",rectangulaire,BA8389,"Recyclable et resistant aux graisses et aux huiles.\nContenance : 800ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson \xc3\xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 25 barquettes.\nUnites par paquet\npack de 25",['micro-ondes'],Barquettes aluminium 800ml,aluminium,"Aluminium, Barquettes",,,0,XAF,True
,True,-20\xc2\xbaC / +380\xc2\xbaC,True,,True,pack de 25,"XAF 4000,00",rectangulaire,BA83115,"Recyclable et resistant aux graisses et aux huiles.\nContenance : 900ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson \xc3\xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 25 barquettes.\nUnites par paquet\npack de 25",['micro-ondes'],Barquettes aluminium 900ml,aluminium,"Aluminium, Barquettes",,,0,XAF,True
,True,-20\xc2\xbaC / +380\xc2\xbaC,True,,True,pack de 20,"XAF 4000,00",rectangulaire,BA83120,"Recyclable et resistant aux graisses et aux huiles.\nContenance : 1200 ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson \xc3\xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 20 barquettes.\nUnites par paquet\npack de 20",['micro-ondes'],Barquettes aluminium 1200 ml,aluminium,"Aluminium, Barquettes",,,0,XAF,True
,True,-20\xc2\xbaC / +380\xc2\xbaC,True,,True,pack de 25,"XAF 3500,00",rectangulaire,BA8382,"Recyclable et resistant aux graisses et aux huiles.\nContenance : 800ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson \xc3\xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 25 barquettes.\nUnites par paquet\npack de 25",['micro-ondes'],Barquettes aluminium 900 ml  2 comp.,aluminium,"Aluminium, Barquettes",,,0,XAF,True
,True,-20\xc2\xbaC / +380\xc2\xbaC,True,,True,pack de 20,"XAF 4000,00",rectangulaire,BA8385,"Recyclable et resistant aux graisses et aux huiles.\nContenance : 900ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson \xc3\xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 20 barquettes.\nUnites par paquet\npack de 20",['micro-ondes'],Barquettes aluminium 900 ml 3 comp.,aluminium,"Aluminium, Barquettes",,,0,XAF,True
,True,-20\xc2\xbaC / +380\xc2\xbaC,True,,True,pack de 20,"XAF 5000,00",rectangulaire,BA83185,"Recyclable et resistant aux graisses et aux huiles.\nContenance : 800ml\nMateriel : aluminium\nForme : rectangulaire\nContact alimentaire : oui\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson \xc3\xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 20 barquettes.\nUnites par paquet\npack de 20",['micro-ondes'],Barquettes aluminium 1800ml,aluminium,"Aluminium, Barquettes",,,0,XAF,True
,True,-20\xc2\xbaC / +380\xc2\xbaC,True,,True,pack de 10,"XAF 1350,00",ronde,GA008,"Recyclable et resistant aux graisses et aux huiles.\nContenance : 300ml\nMateriel : aluminium\nForme : ronde\nContact alimentaire : oui\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nConvient pour le micro-onde\nConvient pour le chauffage au four, la cuisson \xc3\xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour un paquet de 10 barquettes.\nUnites par paquet\npack de 10",['micro-ondes'],Barquettes aluminium 300ml,aluminium,"Aluminium, Barquettes",,,0,XAF,True
,True,-20\xc2\xbaC / +380\xc2\xbaC,True,,True,pack de 10,"XAF 3000,00",,GA009,"Plats \xc3\xa0 tarte en aluminium..\nRecyclable et resistant aux graisses et aux huiles.\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nConvient pour le micro-ondes\nConvient pour le chauffage au four, la cuisson \xc3\xa0 la vapeur et les grillades.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour 10 pieces.\nUnites par paquet\npack de 10",['micro-ondes'],Plats \xc3\xa0 tarte en aluminium,aluminium,Aluminium,,,0,XAF,True
noire,True,,True,,False,pack de 7,"XAF 2500,00",rectangulaire,BP004,Dimension : 1000 ml\nMateriel : polypropylene\nForme : rectangulaire\nContact alimentaire : oui\nCouleur : noire\nCompartiments : 2\nFacile \xc3\xa0 nettoyer\nPeut-\xc3\xaatre chauffe au micro-onde.\nNe garde pas d\xe2\u20ac\u2122odeur\nIdeal pour : repas \xc3\xa0 emporter\nPrix pour 7 barquettes.\nUnites par paquet\npack de 7,['micro-ondes'],Barquette PP HOTP 2 comp. 1000 ml,polypropylene,"Polypropylene, Barquettes",repas \xc3\xa0 emporter,1000 ml,2,XAF,False
