SKU,length,recyclable,food_contact_safe,type,color,width,ideal_for,dimension,units_per_package,price,cover_available,shape,material,compartiments,currency,temperature_range,Product_Name,suitable_for,description,categories,disposable
PBB001,,True,True,Pique brochette,,,Petites brochettes,25cm,Pack de 100,"500,00",False,,Bambou,0,XAF,,Pique brochettes FALCON en bambou 25CM,['Brochettes'],"Particulierement utilisee pour toutes les petites brochettes presentes dans les buffets. Biodegradable, recyclable, compostable, contact alimentaire, bambou veritable. Pratique et leger. Dimension : 25cm Le prix est pour le paquet de 100 pieces.","Pique Brochettes, Piques",True
PBB002,,True,True,Pique brochette,,,Petites brochettes,15cm,Pack de 100,"450,00",False,,Bambou,0,XAF,,Pique brochettes FALCON en bambou 15CM,['Brochettes'],"Particulierement utilisee pour toutes les petites brochettes presentes dans les buffets. Biodegradable, recyclable, compostable, contact alimentaire, bambou veritable. Pratique et leger. Dimension : 15cm Le prix est pour le paquet de 100 pieces.","Pique Brochettes, Piques",True
PBB003,,True,True,Pique brochette,,,Petites brochettes,30cm,Pack de 80,"500,00",False,,Bambou,0,XAF,,Pique brochettes robuste en bambou 25CM,['Brochettes'],"Particulierement utilisee pour toutes les petites brochettes presentes dans les buffets. Biodegradable, recyclable, compostable, contact alimentaire, bambou veritable. Pratique et leger. Dimension : 30cm Le prix est pour le paquet de 80 pieces.","Pique Brochettes, Piques",True
PBB004,,True,True,Pique brochette,,,Petites brochettes,30cm,Pack de 80,"1750,00",False,,Bambou,0,XAF,,Pique brochettes robuste en bambou,['Brochettes'],"Particulierement utilisee pour toutes les petites brochettes presentes dans les buffets. Biodegradable, recyclable, compostable, contact alimentaire, bambou veritable. Pratique et leger. Dimension : 30cm Le prix est pour le paquet de 80 pieces.","Pique Brochettes, Piques",True
BR0011,,True,True,Pique brochette,,,Presentation de brochettes,15 cm,Pack de 50,"2000,00",False,,Bambou,0,XAF,,Pique brochette bout decore or,['Brochettes'],"Pique decore d'une perle de couleur or, robuste en plus resistant a la chaleur. Ideal pour la presentation de brochettes dans les caterings, les evenements ou les buffets. Dimension : 15 cm Le prix est pour le paquet de 50 pieces. Adapte au contact alimentaire, le bambou est un bois robuste en plus resistant a la chaleur. Unites par paquet Pack de 50","Pique Brochettes, Piques",True
BR0015,,True,True,Pique brochette,,,Presentation de brochettes,15 cm,Pack de 50,"2000,00",False,,Bambou,0,XAF,,Pique brochette bout decore couleur argent,['Brochettes'],"Pique decore d'une perle de couleur argent, fabrique en Bambou de 15cm de longueur. Fabriques en bambou, ils sont biodegradables et recyclables. Resistants et hygieniques, ils ne laissent aucun go\xc3\xbbt dans les aliments. Avec une decoration simple et originale, ils sont parfaits pour decorer les aperitifs et leur donner une touche originale. Piques en Bambou indispensables pour vos presentations gastronomiques decores avec une perle, ceci est une proposition simple, elegante, moderne et pratique. Adapte au contact alimentaire, le bambou est un bois robuste en plus resistant a la chaleur. Ideal pour la presentation de brochettes dans les caterings, les evenements ou les buffets. Dimension : 15 cm Le prix est pour le paquet de 50 pieces. Unites par paquet Pack de 50","Pique Brochettes, Piques",True
BR0016,,True,True,Pique brochette,,,Presentation de brochettes,15 cm,Pack de 50,"2000,00",False,,Bambou,0,XAF,,Pique brochette decore couleur noire,['Brochettes'],"Pique decore d'une perle de couleur argent, fabrique en Bambou de 15cm de longueur. Fabriques en bambou, ils sont biodegradables et recyclables. Resistants et hygieniques, ils ne laissent aucun go\xc3\xbbt dans les aliments. Avec une decoration simple et originale, ils sont parfaits pour decorer les aperitifs et leur donner une touche originale. Piques en Bambou indispensables pour vos presentations gastronomiques decores avec une perle, ceci est une proposition simple, elegante, moderne et pratique. Adapte au contact alimentaire, le bambou est un bois robuste en plus resistant a la chaleur. Ideal pour la presentation de brochettes dans les caterings, les evenements ou les buffets. Dimension : 15 cm Le prix est pour le paquet de 50 pieces. Unites par paquet Pack de 50","Pique Brochettes, Piques",True
BR0012,,True,True,Pique brochette,,,Presentation de brochettes,15 cm,Pack de 50,"2000,00",False,,Bambou,0,XAF,,Pique brochette bout decore blanc,['Brochettes'],"Pique decore d'une perle de couleur blanche, fabrique en Bambou de 15cm de longueur. Fabriques en bambou, ils sont biodegradables et recyclables. Resistants et hygieniques, ils ne laissent aucun go\xc3\xbbt dans les aliments. Avec une decoration simple et originale, ils sont parfaits pour decorer les aperitifs et leur donner une touche originale. Piques en Bambou indispensables pour vos presentations gastronomiques decores avec une perle, ceci est une proposition simple, elegante, moderne et pratique. Adapte au contact alimentaire, le bambou est un bois robuste en plus resistant a la chaleur. Ideal pour la presentation de brochettes dans les caterings, les evenements ou les buffets. Dimension : 15 cm Le prix est pour le paquet de 50 pieces. Unites par paquet Pack de 50","Pique Brochettes, Piques",True
BR0013,,True,True,Pique brochette,,,Presentation de brochettes,15 cm,Pack de 50,"2000,00",False,,Bambou,0,XAF,,Pique brochette bout decore multicolore,['Brochettes'],"Pique decore des perles de multi couleur, fabrique en Bambou de 15cm de longueur. Fabriques en bambou, ils sont biodegradables et recyclables. Resistants et hygieniques, ils ne laissent aucun go\xc3\xbbt dans les aliments. Avec une decoration simple et originale, ils sont parfaits pour decorer les aperitifs et leur donner une touche originale. Piques en Bambou indispensables pour vos presentations gastronomiques decores avec une perle, ceci est une proposition simple, elegante, moderne et pratique. Adapte au contact alimentaire, le bambou est un bois robuste en plus resistant a la chaleur. Ideal pour la presentation de brochettes dans les caterings, les evenements ou les buffets. Dimension : 15 cm Le prix est pour le paquet de 50 pieces. Unites par paquet Pack de 50","Pique Brochettes, Piques",True
BR0014,,True,True,Pique brochette,,,Presentation de brochettes,15 cm,Pack de 50,"2000,00",False,,Bambou,0,XAF,,Pique brochette bout decore c\xc5\u201cur,['Brochettes'],"Pique decore des perles en forme de c\xc5\u201cur multi couleur, fabrique en Bambou de 15cm de longueur. Fabriques en bambou, ils sont biodegradables et recyclables. Resistants et hygieniques, ils ne laissent aucun go\xc3\xbbt dans les aliments. Avec une decoration simple et originale, ils sont parfaits pour decorer les aperitifs et leur donner une touche originale. Piques en Bambou indispensables pour vos presentations gastronomiques decores avec une perle, ceci est une proposition simple, elegante, moderne et pratique. Adapte au contact alimentaire, le bambou est un bois. Unites par paquet Pack de 50","Pique Brochettes, Piques",True
