color,compartiments,ideal_for,type,cover_available,description,material,length,price,currency,units_per_package,width,product_code,disposable,nom_du_produit,suitable_for,recyclable,food_contact_safe,temperature_range,dimension,shape
,0,,Boite,True,"Conserve les aliments en parfait etat jusqu'a leur consommation. Resiste a des temperatures allant de -40\xc2\xbaC a + 60\xc2\xbaC. Bocal avec couvercle anti-buee : visibilite parfaite des aliments. Ideal pour les cafeterias, les buffets, les plats a emporter ou les evenements.",,,,XAF,paquet de 12,,BS0001,False,Boites Supp. avec couvercle incorpore,"['Cafeterias', 'Buffets', 'Plats a emporter', 'evenements']",True,True,-40\xc2\xbaC a +60\xc2\xbaC,,
,0,,Boite,False,"Conserve les aliments en parfait etat jusqu'a leur consommation. Resiste a des temperatures allant de -40\xc2\xbaC a + 60\xc2\xbaC. Bocal avec couvercle anti-buee : visibilite parfaite des aliments. Ideal pour les cafeterias, les buffets, les plats a emporter ou les evenements.",,,,XAF,paquet de 100,,BS0007,False,Boites Supp. 30ml avec couvercle non incorpore,"['Cafeterias', 'Buffets', 'Plats a emporter', 'evenements']",True,True,-40\xc2\xbaC a +60\xc2\xbaC,,
Transparent,0,,Boite,True,"Boites transparentes ideal pour vos desserts, yaourts, creme glacee et bien plus. Reutilisables. Presente parfaitement les aliments mis a l\xe2\u20ac\u2122interieur. Couvercle transparent rebondi.",,,"2000,00",XAF,paquet de 20,,BT007,False,Boites transparentes 120ml avec couvercles,"['Desserts', 'Yaourts', 'Creme glacee']",True,True,,,
Transparent,0,,Boite,True,"Boites transparentes ideal pour vos desserts, yaourts, creme glacee et bien plus. Reutilisables. Presente parfaitement les aliments mis a l\xe2\u20ac\u2122interieur. Couvercle transparent rebondi.",,,"6000,00",XAF,paquet de 50,,BT001,False,Boites transparentes 200ml avec couvercles,"['Desserts', 'Yaourts', 'Creme glacee']",True,True,,,
Transparent,0,,Boite,True,"Boites transparentes ideal pour vos desserts, yaourts, creme glacee et bien plus. Reutilisables. Presente parfaitement les aliments mis a l\xe2\u20ac\u2122interieur. Couvercle transparent rebondi.",,,"6500,00",XAF,paquet de 50,,BT002,False,Boites transparentes 240ml avec couvercles,"['Desserts', 'Yaourts', 'Creme glacee']",True,True,,,
Transparent,0,,Boite,True,"Boites transparentes ideal pour vos desserts, yaourts, creme glacee et bien plus. Reutilisables. Presente parfaitement les aliments mis a l\xe2\u20ac\u2122interieur. Couvercle transparent rebondi.",,,"7000,00",XAF,paquet de 50,,BT004,False,Boites transparentes 300ml avec couvercles,"['Desserts', 'Yaourts', 'Creme glacee']",True,True,,,
Transparent,0,,Boite,False,Fabrique avec du rPET qui resiste aussi bien aux aliments acides que gras. Resiste aux fissures. Fabrique avec un minimum de 20% de materiel recycle provenant de bouteilles d'eau ou de sodas. Excellente clarte qui induit une stimulation des ventes.,rPET,,,XAF,paquet de 12,,BM100,False,Boites moringa en plastique,"['Aliments acides', 'Aliments gras']",True,True,,,
,0,,Boite a glace,True,Pot a glace en carton de couleur convient aussi bien pour la consommation sur place ou la vente a emporter en restauration rapide. Le couvercle en plastique est compris dans le prix de vente. ecologique. Matiere : carton.,Carton,,"5500,00",XAF,paquet de 50,,BL100,False,Boites a glace en carton avec couvercle 100ml,"['Consommation sur place', 'Vente a emporter en restauration rapide']",True,True,,,
,0,,Boite a glace,True,Pot a glace en carton de couleur convient aussi bien pour la consommation sur place ou la vente a emporter en restauration rapide. Le couvercle en plastique est compris dans le prix de vente. ecologique. Matiere : carton.,Carton,,"6000,00",XAF,paquet de 50,,BL200,False,Boites a glace en carton avec couvercle 250ml,"['Consommation sur place', 'Vente a emporter en restauration rapide']",True,True,,,
Blanc,0,,Boite,True,Boites blanches de 400 ml avec couvercle. Reutilisables. Couvercle blanc plat.,,,"5000,00",XAF,paquet de 50,,BO400,False,Boites blanches 400ml avec couvercles,[],True,True,,,
Blanc,0,,Boite,True,Boites blanches de 250 ml avec couvercle. Reutilisables. Couvercle blanc plat.,,,"5000,00",XAF,paquet de 50,,BT006,False,Boites blanches 250ml avec couvercles,[],True,True,,,
