largeur,capacite_max,recyclable,code_article,convient_au_contact_alimentaire,jetable,impermeable,material,units_par_paquet,grammage,product_code,hauteur,price,nom_du_produit,color,type_de_produit,dimension,category,capacite,description,currency
10cm,,True,pk1015,True,True,True,Papier + PE,50,80 g/m\xc2\xb2,pk1015,15cm,"2250,00",Sachet DoyPack 10/15cm en papier kraft avec zip et fenetre,Kraft,Sac avec fermeture,10 x 15 cm,DoyPack,150g,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Fabrique en papier Kraft plastifie avec laminage interne en PE. Resistant \xc3\xa0 l'humidite. Fenetre horizontale translucide, et fond ovale anti-balancement. Fermeture zip hermetique. Convient pour le contact direct avec les aliments.",XAF
12cm,,True,pk1220,True,True,True,Papier + PE,50,80 g/m\xc2\xb2,pk1220,20cm,"2750,00",Sachet DoyPack 12/20cm en papier kraft avec zip et fenetre,Kraft,Sac avec fermeture,12 x 20 cm,DoyPack,250g,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Fabrique en papier Kraft plastifie avec laminage interne en PE. Resistant \xc3\xa0 l'humidite. Fenetre horizontale translucide, et fond ovale anti-balancement. Fermeture zip hermetique. Convient pour le contact direct avec les aliments.",XAF
14cm,400g,True,pk1420,True,True,True,Papier + PE,50,80 g/m\xc2\xb2,pk1420,20cm,"3500,00",Sachet DoyPack 14/20cm en papier kraft avec zip et fenetre,Kraft,Sac avec fermeture,14 x 20 cm,DoyPack,,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Fabrique en papier Kraft plastifie avec laminage interne en PE. Resistant \xc3\xa0 l'humidite. Fenetre horizontale translucide, et fond ovale anti-balancement. Fermeture zip hermetique. Convient pour le contact direct avec les aliments.",XAF
16cm,500g,True,pk1623,True,True,True,Papier + PE,50,80 g/m\xc2\xb2,pk1623,23cm,"4000,00",Sachet DoyPack 16/23cm en papier kraft avec zip et fenetre,Kraft,Sac avec fermeture,16 x 23 cm,DoyPack,,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Fabrique en papier Kraft plastifie avec laminage interne en PE. Resistant \xc3\xa0 l'humidite. Fenetre horizontale translucide, et fond ovale anti-balancement. Fermeture zip hermetique. Convient pour le contact direct avec les aliments.",XAF
18cm,750g,True,pk1826,True,True,True,Papier + PE,50,80 g/m\xc2\xb2,pk1826,26cm,"5000,00",Sachet DoyPack 18/26cm en papier kraft avec zip et fenetre,Kraft,Sac avec fermeture,18 x 26 cm,DoyPack,,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Fabrique en papier Kraft plastifie avec laminage interne en PE. Resistant \xc3\xa0 l'humidite. Fenetre horizontale translucide, et fond ovale anti-balancement. Fermeture zip hermetique. Convient pour le contact direct avec les aliments.",XAF
10cm,150g,True,pk1015a,True,True,True,"Polyethylene (PE), polyethylene terephtalate (PET) et aluminium (ALU)",50,80 g/m\xc2\xb2,pk1015a,15cm,"2500,00",Sachet DoyPack 10/15 cm en alu-transparent avec zip et fenetre,Gris / transparent,Sac avec fermeture,10 x 15 cm,DoyPack,,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Sachets souples tenant debout, fabriques en 3 pieces : les faces avant et arriere, et un fond en soufflet circulaire qui se plie en W quand le sachet est \xc3\xa0 plat. En polyethylene (PE), polyethylene terephtalate (PET) et aluminium (ALU). Voile d'inviolabilite pouvant etre soude, sur le bord superieur du sachet. Son zip permet une ouverture et une fermeture \xc3\xa0 volonte facilite ! Assurent une conservation optimum.",XAF
12cm,250g,True,pk1220a,True,True,True,"Polyethylene (PE), polyethylene terephtalate (PET) et aluminium (ALU)",50,80 g/m\xc2\xb2,pk1220a,20cm,"2750,00",Sachet DoyPack 12/20 cm en alu-transparent avec zip et fenetre,Gris / transparent,Sac avec fermeture,12 x 20 cm,DoyPack,,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Sachets souples tenant debout, fabriques en 3 pieces : les faces avant et arriere, et un fond en soufflet circulaire qui se plie en W quand le sachet est \xc3\xa0 plat. En polyethylene (PE), polyethylene terephtalate (PET) et aluminium (ALU). Voile d'inviolabilite pouvant etre soude, sur le bord superieur du sachet. Son zip permet une ouverture et une fermeture \xc3\xa0 volonte facilite ! Assurent une conservation optimum.",XAF
12cm,150g,True,pk1015t,True,True,True,Polyethylene (PE),50,80 g/m\xc2\xb2,pk1015t,20cm,"2500,00",Sachet DoyPack 10/15 cm en transparent avec zip et fenetre,Transparent,Sac avec fermeture,10 x 15 cm,DoyPack,,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Sachets souples tenant debout en polyethylene (PE). Son zip permet une ouverture et une fermeture \xc3\xa0 volonte facilite ! Assurent une conservation optimum.",XAF
12cm,250g,True,pk1220t,True,True,True,Polyethylene (PE),50,80 g/m\xc2\xb2,pk1220t,20cm,"2750,00",Sachet DoyPack 12/20 cm en transparent avec zip et fenetre,Transparent,Sac avec fermeture,12 x 20 cm,DoyPack,,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Sachets souples tenant debout en polyethylene (PE). Son zip permet une ouverture et une fermeture \xc3\xa0 volonte facilite ! Assurent une conservation optimum.",XAF
14cm,400g,True,Pk1420t,True,True,True,Polyethylene (PE),50,80 g/m\xc2\xb2,pk1420t,20cm,"3000,00",Sachet DoyPack 14/20 cm en transparent avec zip et fenetre,Transparent,Sac avec fermeture,14 x 20 cm,DoyPack,,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Sachets souples tenant debout en polyethylene (PE). Son zip permet une ouverture et une fermeture \xc3\xa0 volonte facilite ! Assurent une conservation optimum.",XAF
14cm,500g,True,pkfl,True,True,True,Polyethylene (PE),50,80 g/m\xc2\xb2,PKFL,20cm,,Sachet DoyPack en plastique en fleuri avec zip et fenetre,Fleuri,Sac avec fermeture,15 x 22 cm,DoyPack,,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres. Sachets souples tenant debout en polyethylene (PE). Son zip permet une ouverture et une fermeture \xc3\xa0 volonte facilite ! Assurent une conservation optimum.",
