price,type,food_contact:,short_description,ideal_for,recyclable,product_code,safe,units_per_package,food_contact_safe,nom du produit,temperature_range,color,description,dimension,cover_available,keeps_no_odor,suitable_for,compartiments,disposable,categories,shape,material
"XAF 1250,00",Barquettes,,pack de 25,,True,BA8342,,25,True,Barquettes aluminium 400ml lot/25,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour paquet de 25 barquettes.",400ml,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",,True,Aluminium,Carre,Aluminium
"XAF 2500,00",Barquettes,,pack de 25,,True,BA8389,,25,True,Barquettes aluminium 800ml lot/25,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 25 barquettes",800ml,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",,True,Aluminium,Rectangulaire,Aluminium
"XAF 4000,00",Barquettes,,pack de 25,,True,BA83115,,25,True,Barquettes aluminium 900ml lot/25,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 25 barquettes",900ml,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",,True,Aluminium,Rectangulaire,Aluminium
"XAF 4000,00",Barquettes,,pack de 25,,True,BA83120,,25,True,Barquettes aluminium 1200ml lot/25,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 25 barquettes",1200ml,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",,True,Aluminium,Rectangulaire,Aluminium
"XAF 3500,00",Barquettes,,pack de 20,,True,BA8382,,20,True,Barquettes aluminium 900ml 2 compartiments lot/20,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 20 barquettes.",900ml,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",,True,Aluminium,Rectangulaire,Aluminium
"XAF 4000,00",Barquettes,,pack de 20,,True,BA8385,,20,True,Barquettes aluminium 900ml 3 compartiments lot/20,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 20 barquettes.",900ml,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",3,True,Aluminium,Rectangulaire,Aluminium
"XAF 5000,00",Barquettes,,pack de 20,,True,BA83185,,20,True,Barquettes aluminium 1800ml lot/20,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,"- Barquettes en aluminium de 1800ml. Particulierement adapte aux plats a emporter.\n- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 20 barquettes.",1800ml,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",,True,Aluminium,Rectangulaire,Aluminium
"XAF 1350,00",Barquettes,,pack de 10,,True,GA008,,10,True,Barquettes aluminium 300ml lot/10,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,"- Barquettes en aluminium de 300ml. Particulierement adapte aux nouilles.\n- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 10 barquettes.",300ml,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",,True,Aluminium,Ronde,Aluminium
"XAF 3000,00",Barquettes,,pack de 10,,True,GA009,,10,True,Plats a tarte en aluminium lot/10,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,"- Plats a tarte en aluminium.\n- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 10 pieces.",,True,,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",,True,Aluminium,Ronde,Aluminium
"XAF 2500,00",Barquettes,,pack de 10,Repas a Emporter,True,BP004,,10,True,Barquettes hp black 2 compartiments 1000ml lot/07,-20\xc2\xbaC / +380\xc2\xbaC,Noire,- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Ne garde pas d'odeur\n- Convient pour le micro-ondes\n- Prix pour 07 barquettes.,1000ml,True,True,['micro-ondes'],2,True,Polypropylene,Rectangulaire,Polypropylene
