Product,Image Link,Category,Price
Clear 30cc Garlic Cups+ Lid 1x2000pc-H/P,https://www.hotpackglobal.com/upload/Product_images/yvrFj41PkHDQesl5LPev9coroLEYywoP0YHt5x53.jpg,Plastic,1500
Portion Cup 1oz Pet **Base Only***5000pc,https://www.hotpackglobal.com/upload/Product_images/qtfnaDPeoyUk8cPbttW7yuNT3KiLBQH337gOrAH1.jpg,Plastic,1500
Base Portion Cup Pet 60ml 2500pc-60petb,https://www.hotpackglobal.com/upload/Product_images/IxGAFVAzzLuY6zrrdAsyQdUgyepv2h3quO8NQDpH.jpg,Plastic,1500
Black Portion Cup Only Bb30cc 1x2500pcs,https://www.hotpackglobal.com/upload/Product_images/G922ObTQeELzJqadS1C7AmF1tOudbGQ5VxcIWmew.jpg,Plastic,1500
Cups For Black Portion Cup Bb60cc-2500pc,https://www.hotpackglobal.com/upload/Product_images/5qA8bfUbX00cHledERILjvpFntx74zGgoqqE1e8N.jpg,Plastic,1500
Black Portion Cup 80cc-Base Only-2500pc,https://www.hotpackglobal.com/upload/Product_images/Sb6kaKwVL02ngcpxVYc43232n5YqpvFpT1BlfzSe.jpg,Plastic,1500
Black Portion Cup 100cc Base Only-2500pc,https://www.hotpackglobal.com/upload/Product_images/eIzPhHaplC0ZiAHnsVrXKPe6EEE5zOxhEGvIHKWg.jpg,Plastic,1500
1oz Blak Base Portion Cup 5000pc,https://www.hotpackglobal.com/upload/Product_images/t6TZIaRCAklWtRNZyW5EJYvib24mwaK9yKfNlin2.jpg,Plastic,1500
2oz Blak Base Portion Cup 2500pc,https://www.hotpackglobal.com/upload/Product_images/f6MwIaooX3S0pre19WqMTgAwIDhZe05ofakDpsaS.jpg,Plastic,1500
clear-square-cont.-xl-hpl200--250-pcs,https://www.hotpackglobal.com/upload/Product_images/HPL200.jpg,Plastic,1500
clear-square-cont.-large-hpl300--200pcs,https://www.hotpackglobal.com/upload/Product_images/HPL300.jpg,Plastic,1500
clear-square-cont.-medium-hpl400--500pc,https://www.hotpackglobal.com/upload/Product_images/HPL400.jpg,Plastic,1500
clear-square-cont.-small-hpl500--500pcs,https://www.hotpackglobal.com/upload/Product_images/HPL500.jpg,Plastic,1500
deep-clr-hinged-pastry-contr-kt220d-320p,https://www.hotpackglobal.com/upload/Product_images/KT220DHP.jpg,Plastic,1500
clear-hinged-pastry-contrs-320-pcs-kt220,https://www.hotpackglobal.com/upload/Product_images/KT220HP.jpg,Plastic,1500
deep-clr-hinged-pastry-contr-kt221d-320p,https://www.hotpackglobal.com/upload/Product_images/KT221DHP.jpg,Plastic,1500
clear-hinged-pastry-contrs-320-pcs-kt221,https://www.hotpackglobal.com/upload/Product_images/KT221HP.jpg,Plastic,1500
deep-clr-hinged-pastry-contr-kt222d-320p,https://www.hotpackglobal.com/upload/Product_images/KT222DHP.jpg,Plastic,1500
clear-hinged-pastry-contrs-320-pcs-kt222,https://www.hotpackglobal.com/upload/Product_images/KT222HP.jpg,Plastic,1500
6-croissant-pet-clear-clamshell-1x250pcs,https://www.hotpackglobal.com/upload/Product_images/KT050PET.jpg,Plastic,1500
10-croissant-pet-clear-clamshell-1x250pc,https://www.hotpackglobal.com/upload/Product_images/KT060PET.jpg,Plastic,1500
pet-clear-burger-box-6?--50x10pkt,https://www.hotpackglobal.com/upload/Product_images/KT160PET.jpg,Plastic,1500
clear-rectnglr-coikies/biscuit-tray-250p,https://www.hotpackglobal.com/upload/Product_images/CRCT.jpg,Plastic,1500
pet-muffin-tray-clear-6-compartment-250p,https://www.hotpackglobal.com/upload/Product_images/CMT6C.jpg,Plastic,1500
clear-triangular-cake-contr.ctcc-500pcs,https://www.hotpackglobal.com/upload/Product_images/CTCC.jpg,Plastic,1500
Travel lid reclosable white 8 oz,https://www.hotpackglobal.com/upload/Product_images/L0YrzOPsBDDO518GI1fcSHeHePLQnSNsDGOlq4zr.jpg,Plastic,1500
Travel lid reclosable white 12/16 oz,https://www.hotpackglobal.com/upload/Product_images/wTthhfWcw2BrsRCDevGPVMGlnE09lCC282j5z2vZ.jpg,Plastic,1500
Travel lid reclosable black 8 oz,https://www.hotpackglobal.com/upload/Product_images/eS14svN4FFx6Sw2O3HLW6rinyZrlyLxlUVOWodGw.jpg,Plastic,1500
Travel lid reclosable black 12/16 oz,https://www.hotpackglobal.com/upload/Product_images/g9QsJtvpO2csj1AQAKmYjMwaywbuTyAGQRzwsfKh.jpg,Plastic,1500
Paper cup lid 7/6.5 oz,https://www.hotpackglobal.com/upload/Product_images/8zuYSmqWKEmHbFQkKX0QNKBf6MBS9bvKPGxUQntl.jpg,Plastic,1500
80cc bowl base only-1500pc-h/p,https://www.hotpackglobal.com/upload/Product_images/KXcTVPCKGhKNDiX6A3Jp2OAJd4kVrEFHI0TULQvt.jpg,Plastic,1500
100cc mlc bowl base,https://www.hotpackglobal.com/upload/Product_images/69SUUknOBj4qE4clj7kV5YlXi0qRxpeYm5lBNE4y.jpg,Plastic,1500
only-lids-for-80cc/100cc-1500pcs,https://www.hotpackglobal.com/upload/Product_images/MLID1500.jpg,Plastic,1500
pp-corrugated-white-bowl-200ml-1x1000pcs,https://www.hotpackglobal.com/upload/Product_images/HC200PPBW.jpg,Plastic,1500
pp-corrugated-white-bowl-250ml-1x1000pcs,https://www.hotpackglobal.com/upload/Product_images/HC250PPBW.jpg,Plastic,1500
pp-corrugated-white-bowl-350ml-1x1000pcs,https://www.hotpackglobal.com/upload/Product_images/HC350PPBW.jpg,Plastic,1500
pp-corrugated-white-bowl-400ml-1x1000pcs,https://www.hotpackglobal.com/upload/Product_images/HC400PPBW.jpg,Plastic,1500
pp-corrugated-white-bowl-500ml-1x1000pcs,https://www.hotpackglobal.com/upload/Product_images/HC500PPBW.jpg,Plastic,1500
Clear 30cc Garlic Cups+ Lid 1x2000pc-H/P,https://www.hotpackglobal.com/upload/Product_images/yvrFj41PkHDQesl5LPev9coroLEYywoP0YHt5x53.jpg,Plastic,2000
Portion Cup 1oz Pet **Base Only***5000pc,https://www.hotpackglobal.com/upload/Product_images/qtfnaDPeoyUk8cPbttW7yuNT3KiLBQH337gOrAH1.jpg,Plastic,2000
Base Portion Cup Pet 60ml 2500pc-60petb,https://www.hotpackglobal.com/upload/Product_images/IxGAFVAzzLuY6zrrdAsyQdUgyepv2h3quO8NQDpH.jpg,Plastic,2000
Black Portion Cup Only Bb30cc 1x2500pcs,https://www.hotpackglobal.com/upload/Product_images/G922ObTQeELzJqadS1C7AmF1tOudbGQ5VxcIWmew.jpg,Plastic,2000
Cups For Black Portion Cup Bb60cc-2500pc,https://www.hotpackglobal.com/upload/Product_images/5qA8bfUbX00cHledERILjvpFntx74zGgoqqE1e8N.jpg,Plastic,2000
Black Portion Cup 80cc-Base Only-2500pc,https://www.hotpackglobal.com/upload/Product_images/Sb6kaKwVL02ngcpxVYc43232n5YqpvFpT1BlfzSe.jpg,Plastic,2000
Black Portion Cup 100cc Base Only-2500pc,https://www.hotpackglobal.com/upload/Product_images/eIzPhHaplC0ZiAHnsVrXKPe6EEE5zOxhEGvIHKWg.jpg,Plastic,2000
1oz Blak Base Portion Cup 5000pc,https://www.hotpackglobal.com/upload/Product_images/t6TZIaRCAklWtRNZyW5EJYvib24mwaK9yKfNlin2.jpg,Plastic,2000
2oz Blak Base Portion Cup 2500pc,https://www.hotpackglobal.com/upload/Product_images/f6MwIaooX3S0pre19WqMTgAwIDhZe05ofakDpsaS.jpg,Plastic,2000
clear-square-cont.-xl-hpl200--250-pcs,https://www.hotpackglobal.com/upload/Product_images/HPL200.jpg,Plastic,2000
clear-square-cont.-large-hpl300--200pcs,https://www.hotpackglobal.com/upload/Product_images/HPL300.jpg,Plastic,2000
clear-square-cont.-medium-hpl400--500pc,https://www.hotpackglobal.com/upload/Product_images/HPL400.jpg,Plastic,2000
clear-square-cont.-small-hpl500--500pcs,https://www.hotpackglobal.com/upload/Product_images/HPL500.jpg,Plastic,2000
deep-clr-hinged-pastry-contr-kt220d-320p,https://www.hotpackglobal.com/upload/Product_images/KT220DHP.jpg,Plastic,2000
clear-hinged-pastry-contrs-320-pcs-kt220,https://www.hotpackglobal.com/upload/Product_images/KT220HP.jpg,Plastic,2000
deep-clr-hinged-pastry-contr-kt221d-320p,https://www.hotpackglobal.com/upload/Product_images/KT221DHP.jpg,Plastic,2000
clear-hinged-pastry-contrs-320-pcs-kt221,https://www.hotpackglobal.com/upload/Product_images/KT221HP.jpg,Plastic,2000
deep-clr-hinged-pastry-contr-kt222d-320p,https://www.hotpackglobal.com/upload/Product_images/KT222DHP.jpg,Plastic,2000
clear-hinged-pastry-contrs-320-pcs-kt222,https://www.hotpackglobal.com/upload/Product_images/KT222HP.jpg,Plastic,2000
6-croissant-pet-clear-clamshell-1x250pcs,https://www.hotpackglobal.com/upload/Product_images/KT050PET.jpg,Plastic,2000
10-croissant-pet-clear-clamshell-1x250pc,https://www.hotpackglobal.com/upload/Product_images/KT060PET.jpg,Plastic,2000
pet-clear-burger-box-6?--50x10pkt,https://www.hotpackglobal.com/upload/Product_images/KT160PET.jpg,Plastic,2000
clear-rectnglr-coikies/biscuit-tray-250p,https://www.hotpackglobal.com/upload/Product_images/CRCT.jpg,Plastic,2000
pet-muffin-tray-clear-6-compartment-250p,https://www.hotpackglobal.com/upload/Product_images/CMT6C.jpg,Plastic,2000
clear-triangular-cake-contr.ctcc-500pcs,https://www.hotpackglobal.com/upload/Product_images/CTCC.jpg,Plastic,2000
Travel lid reclosable white 8 oz,https://www.hotpackglobal.com/upload/Product_images/L0YrzOPsBDDO518GI1fcSHeHePLQnSNsDGOlq4zr.jpg,Plastic,2000
Travel lid reclosable white 12/16 oz,https://www.hotpackglobal.com/upload/Product_images/wTthhfWcw2BrsRCDevGPVMGlnE09lCC282j5z2vZ.jpg,Plastic,2000
Travel lid reclosable black 8 oz,https://www.hotpackglobal.com/upload/Product_images/eS14svN4FFx6Sw2O3HLW6rinyZrlyLxlUVOWodGw.jpg,Plastic,2000
Travel lid reclosable black 12/16 oz,https://www.hotpackglobal.com/upload/Product_images/g9QsJtvpO2csj1AQAKmYjMwaywbuTyAGQRzwsfKh.jpg,Plastic,2000
Paper cup lid 7/6.5 oz,https://www.hotpackglobal.com/upload/Product_images/8zuYSmqWKEmHbFQkKX0QNKBf6MBS9bvKPGxUQntl.jpg,Plastic,2000
80cc bowl base only-1500pc-h/p,https://www.hotpackglobal.com/upload/Product_images/KXcTVPCKGhKNDiX6A3Jp2OAJd4kVrEFHI0TULQvt.jpg,Plastic,2000
100cc mlc bowl base,https://www.hotpackglobal.com/upload/Product_images/69SUUknOBj4qE4clj7kV5YlXi0qRxpeYm5lBNE4y.jpg,Plastic,2000
only-lids-for-80cc/100cc-1500pcs,https://www.hotpackglobal.com/upload/Product_images/MLID1500.jpg,Plastic,2000
pp-corrugated-white-bowl-200ml-1x1000pcs,https://www.hotpackglobal.com/upload/Product_images/HC200PPBW.jpg,Plastic,2000
