SKU,Title,Price (FCFA),Image URL
DBBHBR,Rose Gold Happy Birthday Balloon Bunting - 3.4m,4125.33 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
DBBHBS,Silver Happy Birthday Foil Balloon Bunting - 3.4m,2799.84 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
DBBHBG,Gold Happy Birthday Foil Balloon Bunting - 3.4m,2799.84 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
DBBPHB,"Matte Pink Happy Birthday Balloon Bunting - 16""",4430.12 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
DBBHB,Happy Birthday Balloon Banner Multicoloured - 3m - Pack of 13,8271.93 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFHBG,"Happy B-day Rose Gold Script Phrase Air-Fill Foil Balloon - 35""",5606.77 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFHBSV,"Happy B-day Silver Script Phrase Air-Fill Foil Balloon - 35""",5606.77 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN2RG,"Inflated Rose Gold Giant 35"" Number Balloons in a Box - 2 Numbers - Any Age",17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN2G,"Inflated Gold Giant 34"" Number Balloons in a Box - 2 Numbers - Any Age",17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN2S,"Inflated Silver Giant 35"" Number Balloons in a Box - 2 Numbers - Any Age",17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN2P,"Inflated Pink Giant 35"" Number Balloons in a Box - 2 Numbers - Any Age",17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN2BL,"Inflated Blue Giant 35"" Number Balloons in a Box - 2 Numbers - Any Age",17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN2BK,"Inflated Black Giant 35"" Number Balloons in a Box - 2 Numbers - Any Age",17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN1RG,"Inflated Single Number Rose Gold Giant 35"" Balloon in a Box - Choose Your Number",8853.16 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN1G,"Inflated Single Number Gold Giant 35"" Balloon in a Box - Choose Your Number",8853.16 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN1P,"Inflated Single Number Pink Giant 35"" Balloon in a Box - Choose Your Number",8853.16 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN1BL,"Inflated Single Number Blue Giant 35"" Balloon in a Box - Choose Your Number",8853.16 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN1S,"Inflated Single Number Silver Giant 35"" Balloon in a Box - Choose Your Number",8853.16 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBN1BK,"Inflated Single Number Black Giant 35"" Balloon in a Box - Choose Your Number",8853.16 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFFLHB,"Pink Floral Happy Birthday Foil Balloon - 14""",1176.64 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFCK,"Birthday Cake Supershape Foil Balloon - 25""",2594.28 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFBMB,"Birthday Marble Effect Foil Balloon - 18""",1183.73 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFBRD,"Rainbow Dots Happy Birthday Foil Balloon - 18""",1183.73 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFPGD,"Birthday Pink and Gold Dots Foil Balloon - 18""",1183.73 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFRGHB,"White & Rose Gold Happy Birthday Foil Balloon - 18""",1183.73 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFBGD,"Birthday Blue and Gold Foil Balloon - 18""",1183.73 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFBGP,Birthday Glitz Pink 'Happy Birthday' Prismatic Foil Balloon - 50.8cm,1410.55 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFBGRGHB,"Birthday Glitz Rose Gold Happy Birthday Prismatic Foil Balloon - 18""",1353.85 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
