width,suitable_for,length,recyclable,product_code,ideal_for,disposable,description,cover_available,shape,temperature_range,type,units_per_package,categories,compartiments,material,currency,price,color,food_contact_safe,nom_du_produit,dimension
,['Boissons chaudes'],,True,GOB005,,True,Gobelet en carton avec couvercle pour boissons chaudes d'une capacite de 250 ml. Fabrique a partir de cellulose provenant de fibres de bois recoltees dans des for\xc3\xaats durables.,True,,,Gobelet,pack de 50,"Gobelets, Gobelets",0,Carton,XAF,"3500,00",,True,Gobelet carton ECO 250ml avec couvercle,
,['Boissons chaudes'],,True,GOB004,,True,Gobelet en carton avec manche pour boissons chaudes d'une capacite de 140 ml. Fabrique a partir de cellulose provenant de fibres de bois recoltees dans des for\xc3\xaats durables.,False,,,Gobelet,pack de 50,"Gobelets, Gobelets",0,Carton,XAF,"1500,00",,True,Gobelet carton ECO 140ml avec manche,
,['Boissons froides'],,True,GOB014,,True,Gobelet en carton avec couvercle pour jus d'une capacite de 400ml. Fabrique a partir de cellulose provenant de fibres de bois recoltees dans des for\xc3\xaats durables.,True,,,Gobelet,pack de 50,"Gobelets, Gobelets",0,Carton,XAF,"3500,00",,True,Gobelets en carton ECO avec couvercle 400ml,
,"['Boissons chaudes', 'Boissons froides']",,True,GOB001,,True,Gobelet en carton pour boissons chaudes ou froides d'une capacite de 250 ml. Fabrique a partir de cellulose provenant de fibres de bois recoltees dans des for\xc3\xaats durables.,False,,,Gobelet,pack de 50,"Gobelets, Gobelets",0,Carton,XAF,"2000,00",,True,Gobelet carton ECO 250ml,
,['Boissons froides'],,True,GOB012,,True,"Gobelet Jetable en plastique transparent d\xe2\u20ac\u2122une capacite de 400ml. Materiau resistant aux chocs et aux chutes, n'eclate pas. Legere mais tres rigide. Ideal pour les boissons.",True,,,Gobelet,pack de 50,"Gobelets, Gobelets",0,Plastique,XAF,"3500,00",Transparent,True,Gobelets en plastique transparent avec couvercle 400ml,
,['Boissons froides'],,True,GOB012,,True,"Gobelet jetable en plastique fleuri d\xe2\u20ac\u2122une capacite de 400ml. Materiau resistant aux chocs et aux chutes, n'eclate pas. Coupe legere mais tres rigide. Ideal pour les boissons froides.",True,,,Gobelet,pack de 50,"Gobelets, Gobelets",0,Plastique,XAF,"3500,00",Fleuri,True,Gobelets en plastique fleuri avec couvercle 400ml,
,['Boissons froides'],,True,GOB013,,True,"Gobelet Jetable en plastique transparent d\xe2\u20ac\u2122une capacite de 500ml. Materiau resistant aux chocs et aux chutes, n'eclate pas. Coupe legere mais tres rigide. Ideal pour les boissons froides.",True,,,Gobelet,pack de 50,"Gobelets, Gobelets",0,Plastique,XAF,"6500,00",Transparent,True,Gobelets en plastique transparent avec couvercle 500ml,
,"['Boissons chaudes', 'Boissons froides']",,True,GOB002,,True,Fabrique en polypropylene. Ideal pour : boissons chaudes et froides.,False,,,Gobelet,pack de 100,"Gobelets, Gobelets",0,Plastique,XAF,"1500,00",Blanc,True,Gobelets Blanc 160ml en plastique /100,
,"['Boissons chaudes', 'Boissons froides']",,True,GOB003,,True,Fabrique en polypropylene. Ideal pour : boissons chaudes et froides.,False,,,Gobelet,pack de 100,"Gobelets, Gobelets",0,Plastique,XAF,"1000,00",Blanc,True,Gobelets Blanc 60ml en plastique /100,
,"['Boissons chaudes', 'Boissons froides']",,True,GOB007,,True,Gobelet transparent fabrique en polystyrene. Contenance : 200ml. Ideal pour : boissons chaudes et froides.,False,,,Gobelet,pack de 100,"Gobelets, Gobelets",0,Polystyrene,XAF,"2000,00",Transparent,True,Gobelets Transparent 200ml,
