units_per_package,cover_available,ideal_for,color,shape,disposable,type,description,suitable_for,categories,length,material,temperature_range,price,dimension,product_code,recyclable,nom_du_produit,food_contact_safe,width,currency,compartiments
pack de 50,True,,,,True,Gobelet,Gobelet en carton avec couvercle pour boissons chaudes d'une capacit\xc3\xa9 de 250 ml. Fabriqu\xc3\xa9 \xc3\xa0 partir de cellulose provenant de fibres de bois r\xc3\xa9colt\xc3\xa9es dans des for\xc3\xaats durables.,['Boissons chaudes'],['Gobelets'],,Carton,,"3500,00",,GOB005,True,Gobelet carton ECO 250ml avec couvercle,True,,XAF,0
pack de 50,False,,,,True,Gobelet,Gobelet en carton avec manche pour boissons chaudes d'une capacit\xc3\xa9 de 140 ml. Fabriqu\xc3\xa9 \xc3\xa0 partir de cellulose provenant de fibres de bois r\xc3\xa9colt\xc3\xa9es dans des for\xc3\xaats durables.,['Boissons chaudes'],['Gobelets'],,Carton,,"1500,00",,GOB004,True,Gobelet carton ECO 140ml avec manche,True,,XAF,0
pack de 50,True,,,,True,Gobelet,Gobelet en carton avec couvercle pour jus d'une capacit\xc3\xa9 de 400ml. Fabriqu\xc3\xa9 \xc3\xa0 partir de cellulose provenant de fibres de bois r\xc3\xa9colt\xc3\xa9es dans des for\xc3\xaats durables.,['Boissons froides'],['Gobelets'],,Carton,,"3500,00",,GOB014,True,Gobelets en carton ECO avec couvercle 400ml,True,,XAF,0
pack de 50,False,,,,True,Gobelet,Gobelet en carton pour boissons chaudes ou froides d'une capacit\xc3\xa9 de 250 ml. Fabriqu\xc3\xa9 \xc3\xa0 partir de cellulose provenant de fibres de bois r\xc3\xa9colt\xc3\xa9es dans des for\xc3\xaats durables.,"['Boissons chaudes', 'Boissons froides']",['Gobelets'],,Carton,,"2000,00",,GOB001,True,Gobelet carton ECO 250ml,True,,XAF,0
pack de 50,True,,Transparent,,True,Gobelet,"Gobelet Jetable en plastique transparent d\xe2\u20ac\u2122une capacit\xc3\xa9 de 400ml. Mat\xc3\xa9riau r\xc3\xa9sistant aux chocs et aux chutes, n'\xc3\xa9clate pas. L\xc3\xa9g\xc3\xa8re mais tr\xc3\xa8s rigide. Id\xc3\xa9al pour les boissons.",['Boissons froides'],['Gobelets'],,Plastique,,"3500,00",,GOB012,True,Gobelets en plastique transparent avec couvercle 400ml,True,,XAF,0
pack de 50,True,,Fleuri,,True,Gobelet,"Gobelet jetable en plastique fleuri d\xe2\u20ac\u2122une capacit\xc3\xa9 de 400ml. Mat\xc3\xa9riau r\xc3\xa9sistant aux chocs et aux chutes, n'\xc3\xa9clate pas. Coupe l\xc3\xa9g\xc3\xa8re mais tr\xc3\xa8s rigide. Id\xc3\xa9al pour les boissons froides.",['Boissons froides'],['Gobelets'],,Plastique,,"3500,00",,GOB012,True,Gobelets en plastique fleuri avec couvercle 400ml,True,,XAF,0
pack de 50,True,,Transparent,,True,Gobelet,"Gobelet Jetable en plastique transparent d\xe2\u20ac\u2122une capacit\xc3\xa9 de 500ml. Mat\xc3\xa9riau r\xc3\xa9sistant aux chocs et aux chutes, n'\xc3\xa9clate pas. Coupe l\xc3\xa9g\xc3\xa8re mais tr\xc3\xa8s rigide. Id\xc3\xa9al pour les boissons froides.",['Boissons froides'],['Gobelets'],,Plastique,,"6500,00",,GOB013,True,Gobelets en plastique transparent avec couvercle 500ml,True,,XAF,0
pack de 100,False,,Blanc,,True,Gobelet,Fabriqu\xc3\xa9 en polypropyl\xc3\xa8ne. Id\xc3\xa9al pour : boissons chaudes et froides.,"['Boissons chaudes', 'Boissons froides']",['Gobelets'],,Plastique,,"1500,00",,GOB002,True,Gobelets Blanc 160ml en plastique /100,True,,XAF,0
pack de 100,False,,Blanc,,True,Gobelet,Fabriqu\xc3\xa9 en polypropyl\xc3\xa8ne. Id\xc3\xa9al pour : boissons chaudes et froides.,"['Boissons chaudes', 'Boissons froides']",['Gobelets'],,Plastique,,"1000,00",,GOB003,True,Gobelets Blanc 60ml en plastique /100,True,,XAF,0
pack de 100,False,,Transparent,,True,Gobelet,Gobelet transparent fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 200ml. Id\xc3\xa9al pour : boissons chaudes et froides.,"['Boissons chaudes', 'Boissons froides']",['Gobelets'],,Polystyr\xc3\xa8ne,,"2000,00",,GOB007,True,Gobelets Transparent 200ml,True,,XAF,0
pack de 50,False,,Transparent,,True,Gobelet,"Gobelet transparent fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides, notamment la bi\xc3\xa8re \xc3\xa0 pression.","['Boissons froides', 'BiÃ¨re Ã\xa0 pression']",['Gobelets'],,Polystyr\xc3\xa8ne,,"2500,00",,GOB006,True,Gobelets Transparent 400ml,True,,XAF,0
paquet de 50,False,,Rouge,,True,Gobelet,Gobelet rouge fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"3500,00",,RC50,True,RED CUP,True,,XAF,0
