disposable,food_contact_safe,suitable_for,cover_available,categories,ideal_for,nom du produit,safe,price,product_code,recyclable,food_contact:,type,description,keeps_no_odor,temperature_range,dimension,shape,material,units_per_package,compartiments,color
True,True,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",True,Aluminium,,Barquettes aluminium 400ml lot/25,,"XAF 1250,00",BA8342,True,,Barquettes,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour paquet de 25 barquettes.",,-20\xc2\xbaC / +380\xc2\xbaC,400ml,Carre,Aluminium,25,,Metallises
True,True,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",True,Aluminium,,Barquettes aluminium 800ml lot/25,,"XAF 2500,00",BA8389,True,,Barquettes,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 25 barquettes",,-20\xc2\xbaC / +380\xc2\xbaC,800ml,Rectangulaire,Aluminium,25,,Metallises
True,True,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",True,Aluminium,,Barquettes aluminium 900ml lot/25,,"XAF 4000,00",BA83115,True,,Barquettes,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 25 barquettes",,-20\xc2\xbaC / +380\xc2\xbaC,900ml,Rectangulaire,Aluminium,25,,Metallises
True,True,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",True,Aluminium,,Barquettes aluminium 1200ml lot/25,,"XAF 4000,00",BA83120,True,,Barquettes,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 25 barquettes",,-20\xc2\xbaC / +380\xc2\xbaC,1200ml,Rectangulaire,Aluminium,25,,Metallises
True,True,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",True,Aluminium,,Barquettes aluminium 900ml 2 compartiments lot/20,,"XAF 3500,00",BA8382,True,,Barquettes,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 20 barquettes.",,-20\xc2\xbaC / +380\xc2\xbaC,900ml,Rectangulaire,Aluminium,20,,Metallises
True,True,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",True,Aluminium,,Barquettes aluminium 900ml 3 compartiments lot/20,,"XAF 4000,00",BA8385,True,,Barquettes,"- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 20 barquettes.",,-20\xc2\xbaC / +380\xc2\xbaC,900ml,Rectangulaire,Aluminium,20,3,Metallises
True,True,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",True,Aluminium,,Barquettes aluminium 1800ml lot/20,,"XAF 5000,00",BA83185,True,,Barquettes,"- Barquettes en aluminium de 1800ml. Particulierement adapte aux plats a emporter.\n- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 20 barquettes.",,-20\xc2\xbaC / +380\xc2\xbaC,1800ml,Rectangulaire,Aluminium,20,,Metallises
True,True,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",True,Aluminium,,Barquettes aluminium 300ml lot/10,,"XAF 1350,00",GA008,True,,Barquettes,"- Barquettes en aluminium de 300ml. Particulierement adapte aux nouilles.\n- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 10 barquettes.",,-20\xc2\xbaC / +380\xc2\xbaC,300ml,Ronde,Aluminium,10,,Metallises
True,True,"['micro-ondes', 'chauffage au four', 'cuisson a la vapeur', 'grillades']",True,Aluminium,,Plats a tarte en aluminium lot/10,,"XAF 3000,00",GA009,True,,Barquettes,"- Plats a tarte en aluminium.\n- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Convient pour le micro-ondes\n- Convient pour le chauffage au four, la cuisson a la vapeur et les grillades.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 10 pieces.",,-20\xc2\xbaC / +380\xc2\xbaC,,Ronde,Aluminium,10,,Metallises
True,True,['micro-ondes'],True,Polypropylene,Repas a Emporter,Barquettes hp black 2 compartiments 1000ml lot/07,,"XAF 2500,00",BP004,True,,Barquettes,- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Ne garde pas d'odeur\n- Convient pour le micro-ondes\n- Prix pour 07 barquettes.,True,-20\xc2\xbaC / +380\xc2\xbaC,1000ml,Rectangulaire,Polypropylene,10,2,Noire
