shape,categories,units_per_package,description,nom_du_produit,suitable_for,temperature_range,cover_available,type,currency,ideal_for,material,color,width,dimension,product_code,disposable,length,food_contact_safe,compartiments,price,recyclable
,"Emballages, Papier Kraft, Sachet DoyPack",pack de 50,"Il se distingue comme un sac en papier kraft sans poignees, avec un laminage interieur anti-graisse.\nCapacite : 150 g\nIdeal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nFabrique en papier Kraft plastifie avec laminage interne en PE.\nResistant a l'humidite.\nFen\xc3\xaatre horizontale translucide, et fond ovale anti-balancement.\nFermeture zip hermetique.\nConvient pour le contact direct avec les aliments.\nPrix pour 50 pieces.\nUnites par paquet\npack de 50",Sachet DoyPack 10/15 cm en papier kraft,[],,True,,XAF,,papier Kraft plastifie avec laminage interne en PE,,,10/15 cm,pk1015,True,,True,0,"XAF 2250,00",False
,"Emballages, Papier Kraft, Sachet DoyPack",pack de 50,"Il se distingue comme un sac en papier kraft sans poignees, avec un laminage interieur anti-graisse.\nCapacite : 250 g\nIdeal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nFabrique en papier Kraft plastifie avec laminage interne en PE.\nResistant a l'humidite.\nFen\xc3\xaatre horizontale translucide, et fond ovale anti-balancement.\nFermeture zip hermetique.\nConvient pour le contact direct avec les aliments.\nPrix pour 50 pieces.\nUnites par paquet\npack de 50",Sachet DoyPack 12/20 cm en papier kraft avec zip et fen\xc3\xaatre,[],,True,,XAF,,papier Kraft plastifie avec laminage interne en PE,,,12/20 cm,pk1220,True,,True,0,"XAF 2750,00",False
,"Emballages, Papier Kraft, Sachet DoyPack",pack de 50,"Il se distingue comme un sac en papier kraft sans poignees, avec un laminage interieur anti-graisse.\nCapacite : 400 g\nIdeal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nFabrique en papier Kraft plastifie avec laminage interne en PE.\nResistant a l'humidite.\nFen\xc3\xaatre horizontale translucide, et fond ovale anti-balancement.\nFermeture zip hermetique.\nConvient pour le contact direct avec les aliments.\nPrix pour 50 pieces.\nUnites par paquet\npack de 50",Sachet DoyPack 14/20 cm en papier kraft avec zip et fen\xc3\xaatre,[],,True,,XAF,,papier Kraft plastifie avec laminage interne en PE,,,14/20 cm,pk1420,True,,True,0,"XAF 3500,00",False
,"Emballages, Papier Kraft, Sachet DoyPack",pack de 50,"Il se distingue comme un sac en papier kraft sans poignees, avec un laminage interieur anti-graisse.\nCapacite : 500 g\nIdeal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nFabrique en papier Kraft plastifie avec laminage interne en PE.\nResistant a l'humidite.\nFen\xc3\xaatre horizontale translucide, et fond ovale anti-balancement.\nFermeture zip hermetique.\nConvient pour le contact direct avec les aliments.\nPrix pour 50 pieces.\nUnites par paquet\npack de 50",Sachet DoyPack 16/23 cm en papier kraft avec zip et fen\xc3\xaatre,[],,True,,XAF,,papier Kraft plastifie avec laminage interne en PE,,,16/23 cm,pk1623,True,,True,0,"XAF 4000,00",False
,"Emballages, Papier Kraft, Sachet DoyPack",pack de 50,"Il se distingue comme un sac en papier kraft sans poignees, avec un laminage interieur anti-graisse.\nCapacite : 750 g\nIdeal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nFabrique en papier Kraft plastifie avec laminage interne en PE.\nResistant a l'humidite.\nFen\xc3\xaatre horizontale translucide, et fond ovale anti-balancement.\nFermeture zip hermetique.\nConvient pour le contact direct avec les aliments.\nPrix pour 50 pieces.\nUnites par paquet\npack de 50",Sachet DoyPack 18/26 cm en papier kraft avec zip et fen\xc3\xaatre,[],,True,,XAF,,papier Kraft plastifie avec laminage interne en PE,,,18/26 cm,pk1826,True,,True,0,"XAF 5000,00",False
,"Emballages, Alu-Transparent, Sachet DoyPack",pack de 50,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nCapacite : 150 mg\nSachets souples tenant debout, fabriques en 3 pieces : les faces avant et arriere, et un fond en soufflet circulaire qui se plie en W quand le sachet est a plat\nEn polyethylene (PE), polyethylene terephtalate (PET) et aluminium (ALU)\nVoile d'inviolabilite pouvant \xc3\xaatre soude, sur le bord superieur du sachet\nSon zip permet une ouverture et une fermeture a volonte facilite !\nAssurent une conservation optimum\nUnites par paquet\npack de 50",Sachet DoyPack 10/15 cm en alu-transparent avec zip et fen\xc3\xaatre,[],,True,,XAF,,"polyethylene (PE), polyethylene terephtalate (PET) et aluminium (ALU)",,,10/15 cm,pk1015a,True,,True,0,"XAF 2500,00",False
,"Emballages, Alu-Transparent, Sachet DoyPack",pack de 50,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nCapacite : 250 g\nSachets souples tenant debout, fabriques en 3 pieces : les faces avant et arriere, et un fond en soufflet circulaire qui se plie en W quand le sachet est a plat\nEn polyethylene (PE), polyethylene terephtalate (PET) et aluminium (ALU)\nVoile d'inviolabilite pouvant \xc3\xaatre soude, sur le bord superieur du sachet\nSon zip permet une ouverture et une fermeture a volonte facilite !\nAssurent une conservation optimum\nUnites par paquet\npack de 50",Sachet DoyPack 12/20 cm en alu-transparent avec zip et fen\xc3\xaatre,[],,True,,XAF,,"polyethylene (PE), polyethylene terephtalate (PET) et aluminium (ALU)",,,12/20 cm,pk1220a,True,,True,0,"XAF 2750,00",False
,"Emballages, Transparent, Sachet DoyPack",pack de 50,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nCapacite : 150 g\nSachets souples tenant debout\nEn polyethylene (PE)\nSon zip permet une ouverture et une fermeture a volonte facilitee !\nAssurent une conservation optimum\nUnites par paquet\npack de 50",Sachet DoyPack 10/15 cm en transparent avec zip et fen\xc3\xaatre,[],,True,,XAF,,polyethylene (PE),,,10/15 cm,pk1015t,True,,True,0,"XAF 2500,00",False
,"Emballages, Transparent, Sachet DoyPack",pack de 50,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nCapacite : 250 g\nSachets souples tenant debout\nEn polyethylene (PE)\nSon zip permet une ouverture et une fermeture a volonte facilitee !\nAssurent une conservation optimum\nUnites par paquet\npack de 50",Sachet DoyPack 12/20 cm en transparent avec zip et fen\xc3\xaatre,[],,True,,XAF,,polyethylene (PE),,,12/20 cm,pk1220t,True,,True,0,"XAF 2750,00",False
,"Emballages, Transparent, Sachet DoyPack",pack de 50,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nCapacite : 400 g\nSachets souples tenant debout\nEn polyethylene (PE)\nSon zip permet une ouverture et une fermeture a volonte facilitee !\nAssurent une conservation optimum\nUnites par paquet\npack de 50",Sachet DoyPack 14/20 cm en transparent avec zip et fen\xc3\xaatre,[],,True,,XAF,,polyethylene (PE),,,14/20 cm,pk1420t,True,,True,0,"XAF 3000,00",False
